first,last,season_code,installment,brand,brand_season,year,total_houseguests,total_days,age,age_group,gender,oringal_race_ethnicity,race_ethnicity,latinx_hispanic,biracial,biracial_one,biracial_two,lgbts,person_with_disability,hometown,homestate,appearance,comeback_sequester,came_back,first_eviction_day,first_eviction_week,day_of_comeback_sequester_end,days_of_comeback_sequesters,weeks_of_comeback_sequester,made_jury,days_of_jury_sequester,final_eviction_day,final_eviction_week,days_in_game_including_sequester,total_days_in_game_excluding_sequester,weeks_in_game_including_sequester,weeks_in_game_excluding_sequester,afp,ejected,self_evicted,total_vetos,total_hoh,other_comp_wins,total_nominations,total_wins,final_placement,placement_rank_percent,name,Game type
Will,Kirby,bbus2,2,regular,2,2001,12,82,28,20-somethings,male,white,white,no,no,,,non-lgbt,no,miami,FL,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,0,0,0,4,0,1,0.08,Will Kirby,Manipulative
Nicole,Schaffrich,bbus2,2,regular,2,2001,12,82,31,30-somethings,female,white,white,no,no,,,non-lgbt,no,atlanta,GA,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,0,1,0,2,1,2,0.17,Nicole Schaffrich,Intellectual
Monica,Bailey,bbus2,2,regular,2,2001,12,82,40,40-somethings,female,black,black,no,no,,,non-lgbt,no,brooklyn,NY,1,no,no,77,11,,,,yes,0,77,11,77,77,11,11,,no,no,0,1,0,2,1,3,0.25,Monica Bailey,Intellectual
Hardy,Ames-Hill,bbus2,2,regular,2,2001,12,82,31,30-somethings,male,white,white,no,no,,,non-lgbt,no,york,PA,1,no,no,68,10,,,,yes,0,68,10,68,68,9.71,9.71,,no,no,0,3,0,1,3,4,0.33,Hardy Ames-Hill,Athletic
Bunky,Miller,bbus2,2,regular,2,2001,12,82,36,30-somethings,male,white,white,no,no,,,gay,no,harrisburg,NC,1,no,no,61,9,,,,yes,0,61,9,61,61,8.71,8.71,,no,no,0,0,0,1,0,5,0.42,Bunky Miller,Social
Krista,Stegall,bbus2,2,regular,2,2001,12,82,28,20-somethings,female,white,white,no,no,,,non-lgbt,no,opelousas,LA,1,no,no,47,7,,,,yes,0,47,7,47,47,6.71,6.71,,no,no,0,1,0,2,1,6,0.5,Krista Stegall,Social
Kent,Blackwelder,bbus2,2,regular,2,2001,12,82,46,40-somethings,male,white,white,no,no,,,non-lgbt,no,powell,TN,1,no,no,40,6,,,,yes,0,40,6,40,40,5.71,5.71,,no,no,0,1,0,2,1,7,0.58,Kent Blackwelder,Floater
"Mike ""Boogie""",Malin,bbus2,2,regular,2,2001,12,82,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,33,5,,,,yes,0,33,5,33,33,4.71,4.71,,no,no,0,1,0,1,1,8,0.67,"Mike ""Boogie"" Malin",Social
Shannon,Dragoo,bbus2,2,regular,2,2001,12,82,29,20-somethings,female,white,white,no,no,,,non-lgbt,no,san antonio,TX,1,no,no,26,4,,,,yes,0,26,4,26,26,3.71,3.71,,no,no,0,0,0,1,0,9,0.75,Shannon Dragoo,Athletic
Autumn,Daly,bbus2,2,regular,2,2001,12,82,28,20-somethings,female,black,black,no,no,,,non-lgbt,no,irving,TX,1,no,no,19,3,,,,yes,0,19,3,19,19,2.71,2.71,,no,no,0,0,0,1,0,10,0.83,Autumn Daly,Floater
Sheryl,Braxton,bbus2,2,regular,2,2001,12,82,43,40-somethings,female,white,white,no,no,,,non-lgbt,no,ponte vedra beach,FL,1,no,no,12,2,,,,yes,0,12,2,12,12,1.71,1.71,,no,no,0,0,0,1,0,11,0.92,Sheryl Braxton,Social
Justin,Sebik,bbus2,2,regular,2,2001,12,82,26,20-somethings,male,white,white,no,no,,,non-lgbt,no,bayonne,NJ,1,no,no,10,1,,,,no,0,10,2,10,10,1.43,1.43,,yes,no,0,0,0,0,0,12,1,Justin Sebik,Athletic
Lisa,Donahue,bbus3,3,regular,3,2002,12,82,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,1,2,0,2,3,1,0.08,Lisa Donahue,Social
Danielle,Reyes,bbus3,3,regular,3,2002,12,82,30,30-somethings,female,black,black,no,no,,,non-lgbt,no,fairfield,CA,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,1,1,0,1,2,2,0.17,Danielle Reyes,Intellectual
Jason,Guy,bbus3,3,regular,3,2002,12,82,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,mobile,AL,1,no,no,78,11,,,,yes,0,78,12,78,78,11.14,11.14,,no,no,1,2,0,1,3,3,0.25,Jason Guy,Social
Amy,Crews,bbus3,3,regular,3,2002,12,82,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,memphis,TN,1,yes,yes,27,4,41,14,2,yes,0,76,11,76,62,10.86,8.86,,no,no,1,1,0,6,2,4,0.33,Amy Crews,Social
Marcellas,Reynolds,bbus3,3,regular,3,2002,12,82,34,30-somethings,male,black,black,no,no,,,gay,no,chicago,IL,1,no,no,69,10,,,,yes,0,69,10,69,69,9.86,9.86,,no,no,1,2,0,3,3,5,0.42,Marcellas Reynolds,Social
Roddy,Mancuso,bbus3,3,regular,3,2002,12,82,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,morristown,NJ,1,no,no,62,9,,,,yes,0,62,9,62,62,8.86,8.86,,no,no,0,1,0,3,1,6,0.5,Roddy Mancuso,Athletic
Gerry,Lancaster,bbus3,3,regular,3,2002,12,82,51,50+,male,white,white,no,no,,,non-lgbt,no,shadow hills,CA,1,no,no,55,8,,,,yes,0,55,8,55,55,7.86,7.86,,no,no,2,1,0,1,3,7,0.58,Gerry Lancaster,Floater
Chiara,Berti,bbus3,3,regular,3,2002,12,82,25,20-somethings,female,white,white,no,no,,,non-lgbt,no,new york city,NY,1,no,no,48,7,,,,yes,0,48,7,48,48,6.86,6.86,,no,no,1,1,0,1,2,8,0.67,Chiara Berti,Social
Josh,Feinberg,bbus3,3,regular,3,2002,12,82,28,20-somethings,male,white,white,no,no,,,non-lgbt,no,long island,NY,1,no,no,41,6,,,,yes,0,41,6,41,41,5.86,5.86,,no,no,0,0,0,2,0,9,0.75,Josh Feinberg,Manipulative
Eric,Ouellette,bbus3,3,regular,3,2002,12,82,27,20-somethings,male,white,white,no,no,,,non-lgbt,no,milford,CT,1,yes,no,34,5,41,7,1,yes,0,34,5,34,34,4.86,4.86,,no,no,1,0,0,1,1,10,0.83,Eric Ouellette,Athletic
Tonya,Paoni,bbus3,3,regular,3,2002,12,82,35,30-somethings,female,white,white,no,no,,,non-lgbt,no,las vegas,NV,1,yes,no,20,3,41,21,3,yes,0,20,3,20,20,2.86,2.86,,no,no,0,0,0,1,0,11,0.92,Tonya Paoni,Floater
Lori,Olson,bbus3,3,regular,3,2002,12,82,37,30-somethings,female,white,white,no,no,,,non-lgbt,no,foxboro,WI,1,yes,no,13,2,41,28,4,yes,0,13,2,13,13,1.86,1.86,,no,no,0,0,0,1,0,12,1,Lori Olson,Floater
Jun,Song,bbus4,4,regular,4,2003,13,82,27,20-somethings,female,asian,asian,no,no,,,non-lgbt,no,new york city,NY,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,1,1,0,3,2,1,0.08,Jun Song,Floater
Alison,Irwin,bbus4,4,regular,4,2003,13,82,22,20-somethings,female,white,white,no,no,,,non-lgbt,no,meadville,PA,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,2,2,0,3,4,2,0.15,Alison Irwin,Floater
